"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2021","123.39","120.39","123.86","120.34","111.70M","2.83%"
"Mar 19, 2021","119.99","119.90","121.43","119.68","185.55M","-0.45%"
"Mar 18, 2021","120.53","123.00","123.15","120.35","121.47M","-3.39%"
"Mar 17, 2021","124.76","124.03","125.84","122.35","111.93M","-0.65%"
"Mar 16, 2021","125.57","125.67","127.19","124.75","115.23M","1.27%"
"Mar 15, 2021","123.99","121.40","124.00","120.42","92.59M","2.45%"
"Mar 12, 2021","121.03","120.40","121.17","119.16","88.11M","-0.76%"
"Mar 11, 2021","121.96","122.54","123.21","121.26","103.03M","1.65%"
"Mar 10, 2021","119.98","121.69","122.17","119.45","111.94M","-0.91%"
"Mar 09, 2021","121.08","119.03","122.06","118.79","129.53M","4.06%"
"Mar 08, 2021","116.36","120.93","121.00","116.21","154.38M","-4.17%"
"Mar 05, 2021","121.42","120.98","121.93","117.57","153.77M","1.07%"
"Mar 04, 2021","120.13","121.75","123.60","118.62","178.16M","-1.58%"
"Mar 03, 2021","122.06","124.81","125.71","121.84","112.97M","-2.45%"
"Mar 02, 2021","125.12","128.41","128.72","125.01","102.26M","-2.09%"
"Mar 01, 2021","127.79","123.75","127.93","122.79","116.31M","5.39%"
"Feb 26, 2021","121.26","122.59","124.85","121.20","164.56M","0.22%"
"Feb 25, 2021","120.99","124.68","126.46","120.54","148.20M","-3.48%"
"Feb 24, 2021","125.35","124.94","125.56","122.23","111.04M","-0.41%"
"Feb 23, 2021","125.86","123.76","126.71","118.39","158.27M","-0.11%"
"Feb 22, 2021","126.00","128.01","129.72","125.60","103.92M","-2.98%"
