"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 10, 2020","29,420.46","29,254.17","29,478.72","29,129.71","500.72M","0.90%"
"Nov 09, 2020","29,157.97","29,467.90","29,933.83","29,130.66","680.57M","2.95%"
"Nov 06, 2020","28,323.40","28,399.13","28,431.96","28,189.50","328.58M","-0.24%"
"Nov 05, 2020","28,390.18","28,083.37","28,495.05","28,083.37","391.73M","1.95%"
"Nov 04, 2020","27,847.66","27,512.83","28,301.50","27,512.83","449.89M","1.34%"
"Nov 03, 2020","27,480.03","27,138.69","27,640.21","27,138.69","353.35M","2.06%"
"Nov 02, 2020","26,925.05","26,691.28","27,043.48","26,691.28","382.27M","1.60%"
"Oct 30, 2020","26,501.60","26,572.27","26,639.18","26,143.77","506.32M","-0.59%"
"Oct 29, 2020","26,659.11","26,480.98","26,891.89","26,290.78","434.01M","0.52%"
"Oct 28, 2020","26,519.95","27,102.14","27,102.14","26,497.39","499.63M","-3.43%"
"Oct 27, 2020","27,463.19","27,651.18","27,707.69","27,457.96","372.48M","-0.80%"
"Oct 26, 2020","27,685.38","28,185.82","28,185.82","27,370.16","407.04M","-2.29%"
"Oct 23, 2020","28,335.57","28,409.65","28,436.52","28,149.82","350.10M","-0.10%"
"Oct 22, 2020","28,363.66","28,197.42","28,421.31","28,040.18","334.39M","0.54%"
"Oct 21, 2020","28,210.82","28,270.66","28,450.64","28,196.39","301.11M","-0.35%"
"Oct 20, 2020","28,308.79","28,245.85","28,575.03","28,243.04","351.45M","0.40%"
"Oct 19, 2020","28,195.42","28,633.55","28,711.93","28,139.40","360.92M","-1.44%"
"Oct 16, 2020","28,606.31","28,570.72","28,842.90","28,570.72","358.95M","0.39%"
"Oct 15, 2020","28,494.20","28,323.40","28,535.85","28,181.54","330.13M","-0.07%"
"Oct 14, 2020","28,514.00","28,731.30","28,792.56","28,461.73","372.48M","-0.58%"
"Oct 13, 2020","28,679.81","28,764.95","28,808.84","28,604.35","528.27M","-0.55%"
"Oct 12, 2020","28,837.52","28,671.12","28,957.90","28,659.67","493.68M","0.88%"
