"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 26, 2021","52.24","52.01","52.34","51.76","4.46M","0.42%"
"Mar 25, 2021","52.02","51.62","52.06","51.18","17.09M","0.97%"
"Mar 24, 2021","51.52","51.19","51.89","51.16","15.00M","0.25%"
"Mar 23, 2021","51.39","50.83","51.64","50.83","16.94M","0.76%"
"Mar 22, 2021","51.00","50.48","51.06","50.37","17.91M","0.37%"
"Mar 19, 2021","50.81","50.46","51.08","50.17","67.85M","0.47%"
"Mar 18, 2021","50.57","51.10","51.19","50.49","18.01M","-1.31%"
"Mar 17, 2021","51.24","51.29","51.60","51.16","17.50M","0.04%"
"Mar 16, 2021","51.22","51.14","51.52","51.05","14.21M","0.37%"
"Mar 15, 2021","51.03","50.53","51.10","50.47","13.41M","1.33%"
"Mar 12, 2021","50.36","50.65","50.67","50.20","17.60M","-1.02%"
"Mar 11, 2021","50.88","51.13","51.33","50.82","17.42M","-1.09%"
"Mar 10, 2021","51.44","51.09","51.63","50.73","21.33M","1.14%"
"Mar 09, 2021","50.86","51.69","51.88","50.85","23.08M","-1.51%"
"Mar 08, 2021","51.64","51.34","52.49","51.18","25.08M","1.67%"
"Mar 05, 2021","50.79","50.05","50.95","49.90","21.31M","1.70%"
"Mar 04, 2021","49.94","50.15","51.08","49.62","22.04M","-0.08%"
"Mar 03, 2021","49.98","49.87","50.55","49.85","15.41M","-0.24%"
"Mar 02, 2021","50.10","49.87","50.56","49.71","11.76M","0.40%"
"Mar 01, 2021","49.90","49.47","50.44","49.45","13.90M","1.86%"
"Feb 26, 2021","48.99","50.20","50.21","48.97","23.64M","-2.35%"
"Feb 25, 2021","50.17","50.50","50.74","49.98","14.21M","-1.06%"
"Feb 24, 2021","50.71","50.39","50.90","50.13","14.44M","0.34%"
"Feb 23, 2021","50.54","51.00","51.50","50.42","16.22M","-0.18%"
"Feb 22, 2021","50.63","49.86","50.88","49.68","14.37M","1.04%"
"Feb 19, 2021","50.11","50.79","50.83","49.97","15.97M","-1.30%"
"Feb 18, 2021","50.77","50.17","50.84","50.04","12.75M","1.28%"
"Feb 17, 2021","50.13","50.00","50.49","49.88","12.78M","-0.28%"
"Feb 16, 2021","50.27","50.62","50.72","50.16","14.72M","-0.83%"
"Feb 12, 2021","50.69","50.57","50.85","50.39","13.14M","0.78%"
"Feb 11, 2021","50.30","49.81","50.59","49.80","21.91M","1.41%"
"Feb 10, 2021","49.60","50.41","50.58","49.53","22.84M","-0.20%"
"Feb 09, 2021","49.70","49.85","50.02","49.63","14.50M","-0.44%"
"Feb 08, 2021","49.92","49.96","50.17","49.49","17.67M","0.54%"
"Feb 05, 2021","49.65","49.50","49.78","49.27","12.74M","1.31%"
