"openPrice";"openDate";"closePrice";"closeDate";"type";"riskRewardRatio";"amount";"status";"takeProfit";"stopLoss";"profitLoss"
3381,99;2020-08-17;3397,16;2020-08-21;"SELL";2;1000;"CLOSED";3361,69806;3392,13597;-4,48552479457363
3443,62;2020-08-25;3478,73;2020-08-26;"SELL";2;999,551447520543;"CLOSED";3422,95828;3453,95086;-10,1910928971392
3478,73;2020-08-26;3508,01;2020-08-28;"SELL";2;998,532338230829;"CLOSED";3457,85762;3489,16619;-8,40451166471639
3526,65;2020-09-01;3580,84;2020-09-02;"SELL";2;997,691887064357;"CLOSED";3505,4901;3537,22995;-15,3303909829491
3580,84;2020-09-02;3455,06;2020-09-03;"SELL";2;996,158847966062;"CLOSED";3559,35496;3591,58252;34,9909127180135
3455,06;2020-09-03;3426,96;2020-09-04;"SELL";2;999,657939237864;"CLOSED";3434,32964;3465,42518;8,13021715761344
3426,96;2020-09-04;3331,84;2020-09-08;"BUY";2;1000,47096095362;"CLOSED";3447,52176;3416,67912;-27,7694510020277
3331,84;2020-09-08;3398,96;2020-09-09;"BUY";2;997,694015853422;"CLOSED";3351,83104;3321,84448;20,0985708629711
3398,96;2020-09-09;3339,19;2020-09-10;"BUY";2;999,703872939719;"CLOSED";3419,35376;3388,76312;-17,579583309485
3339,19;2020-09-10;3383,54;2020-09-14;"BUY";2;997,945914608771;"CLOSED";3359,22514;3329,17243;13,2543824439157
3383,54;2020-09-14;3357,01;2020-09-17;"BUY";2;999,271352853162;"CLOSED";3403,84124;3373,38938;-7,83518710912067
3357,01;2020-09-17;3319,47;2020-09-18;"BUY";2;998,48783414225;"CLOSED";3377,15206;3346,93897;-11,1656603029781
3246,59;2020-09-24;3298,46;2020-09-25;"BUY";2;997,371268111952;"CLOSED";3266,06954;3236,85023;15,9347646844741
3298,46;2020-09-25;3351,6;2020-09-28;"BUY";2;998,9647445804;"CLOSED";3318,25076;3288,56462;16,093870026316
3483,34;2020-10-15;3426,92;2020-10-19;"SELL";2;1000,57413158303;"CLOSED";3462,43996;3493,79002;16,2063974529947
3310,11;2020-10-29;3269,96;2020-10-30;"BUY";2;1002,19477132833;"CLOSED";3329,97066;3300,17967;-12,156127762773
